cell,u,radius,r_psi4
next_spongeB_sep16_long,40.0,40.0,1.758058e-02
next_spongeB_sep16_long,45.0,16.0,5.332959e-02
next_spongeB_sep16_long,45.0,24.0,2.514752e-02
next_spongeB_sep16_long,45.0,32.0,2.034994e-02
next_spongeB_sep16_long,45.0,40.0,1.752090e-02
next_tolB_n128,5.0,8.0,1.330597e-03
next_tolB_n128,5.0,16.0,2.387133e-03
next_tolB_n128,10.0,8.0,4.350851e-03
next_tolB_n128,10.0,16.0,4.290588e-03
next_tolB_n128,15.0,8.0,1.049202e-02
next_tolB_n128,15.0,16.0,7.646168e-03
next_tolB_n128,20.0,8.0,2.123631e-02
next_tolB_n128,20.0,16.0,1.238741e-02
next_tolB_n128,25.0,8.0,3.855897e-02
next_tolB_n128,25.0,16.0,1.877619e-02
next_tolB_n128,30.0,8.0,6.481211e-02
next_tolB_n128,30.0,16.0,2.705947e-02
next_tolB_n128,35.0,8.0,1.033399e-01
next_tolB_n128,35.0,16.0,3.809804e-02
next_tolB_n128,40.0,8.0,1.600323e-01
next_tolB_n128,40.0,16.0,5.301686e-02
next_tolB_n192,5.0,8.0,1.466693e-03
next_tolB_n192,5.0,16.0,2.449602e-03
next_tolB_n192,10.0,8.0,4.443490e-03
next_tolB_n192,10.0,16.0,4.324709e-03
next_tolB_n192,15.0,8.0,1.053252e-02
next_tolB_n192,15.0,16.0,7.653606e-03
next_tolB_n192,20.0,8.0,2.120779e-02
next_tolB_n192,20.0,16.0,1.235986e-02
next_tolB_n192,25.0,8.0,3.838769e-02
next_tolB_n192,25.0,16.0,1.864022e-02
next_tolB_n192,30.0,8.0,6.446421e-02
next_tolB_n192,30.0,16.0,2.682446e-02
next_tolB_n192,35.0,8.0,1.027134e-01
next_tolB_n192,35.0,16.0,3.762991e-02
next_tolB_n192,40.0,8.0,1.589513e-01
next_tolB_n192,40.0,16.0,5.219667e-02
next_tolB_n256,5.0,8.0,1.540664e-03
next_tolB_n256,5.0,16.0,2.474188e-03
next_tolB_n256,10.0,8.0,4.531075e-03
next_tolB_n256,10.0,16.0,4.345856e-03
next_tolB_n256,15.0,8.0,1.064192e-02
next_tolB_n256,15.0,16.0,7.666281e-03
next_tolB_n256,20.0,8.0,2.136327e-02
next_tolB_n256,20.0,16.0,1.236642e-02
next_tolB_n256,25.0,8.0,3.860947e-02
next_tolB_n256,25.0,16.0,1.862858e-02
next_tolB_n256,30.0,8.0,6.480035e-02
next_tolB_n256,30.0,16.0,2.681859e-02
next_tolB_n256,35.0,8.0,1.032618e-01
next_tolB_n256,35.0,16.0,3.764022e-02
next_tolB_n256,40.0,8.0,1.599011e-01
next_tolB_n256,40.0,16.0,5.221634e-02
pair_mp_mirror,5.0,8.0,2.707469e-03
pair_mp_mirror,5.0,16.0,3.738948e-03
pair_mp_mirror,10.0,8.0,6.199200e-03
pair_mp_mirror,10.0,16.0,6.508215e-03
pair_mp_mirror,15.0,8.0,1.262749e-02
pair_mp_mirror,15.0,16.0,1.052350e-02
pair_mp_mirror,20.0,8.0,2.300826e-02
pair_mp_mirror,20.0,16.0,1.553735e-02
pair_mp_mirror,25.0,8.0,3.899418e-02
pair_mp_mirror,25.0,16.0,2.193709e-02
pair_mp_mirror,30.0,8.0,6.206642e-02
pair_mp_mirror,30.0,16.0,2.954702e-02
pair_mp_mirror,35.0,8.0,9.315126e-02
pair_mp_mirror,35.0,16.0,3.833815e-02
pair_mp_mirror,40.0,8.0,1.328092e-01
